Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,CV Accuracy,Training Time (s),Prediction Time (s)
Logistic Regression,0.9490343347639485,0.9522700814901047,0.9380733944954128,0.9451184286539572,0.9559156740159811,0.943921695722433,3.283195734024048,0.002530813217163086
Naive Bayes,0.9452789699570815,0.9425287356321839,0.9403669724770642,0.9414466130884042,0.9452755068067477,0.9364086982746592,3.8845136165618896,0.2228224277496338
Decision Tree,0.9431330472103004,0.9453488372093023,0.9323394495412844,0.9387990762124712,0.9364890453906481,0.9329207459522234,16.536690950393677,0.012572765350341797
Random Forest,0.9490343347639485,0.9533255542590432,0.9369266055045872,0.945054945054945,0.9526741454572358,0.9447265246962762,20.465660572052002,0.10818672180175781
Hybrid Model,0.9495708154506438,0.9544392523364486,0.9369266055045872,0.9456018518518519,0.9553457476324357,0.9447265246962762,216.71704292297363,0.2855257987976074
